id,name,set,setNumber,year,type,rarity,artist,image,price,condition,status,suggestedPrice,priceCheckedAt
moltres-vstar-universe-018-172-jp,Moltres,VSTAR Universe,018/172,2022,Fire,Common,otumami,/images/cards-collection/moltres-vstar-universe-018-172-jp.webp,,NM,available,,
sableye-lost-abyss-044-100-jp,Sableye,Lost Abyss,044/100,2022,Psychic,Holo,Shibuzoh.,/images/cards-collection/sableye-lost-abyss-044-100-jp.webp,,NM,available,,
team-rocket-s-dugtrio-mask-of-change-083-193-jp,Team Rocket's Dugtrio,Mask of Change,083/193,2025,Fighting,Common,KEIICHIRO ITO,/images/cards-collection/team-rocket-s-dugtrio-mask-of-change-083-193-jp.webp,,NM,available,,
deoxys-vstar-universe-060-172-jp,Deoxys,VSTAR Universe,060/172,2022,Psychic,Common,Souichirou Gunjima,/images/cards-collection/deoxys-vstar-universe-060-172-jp.webp,,NM,available,,
terapagos-terastal-fest-ex-144-193-jp,Terapagos,Terastal Fest ex,144/193,2025,Normal,Holo,GIDORA,/images/cards-collection/terapagos-terastal-fest-ex-144-193-jp.webp,,NM,available,,
groudon-terastal-festival-ex-080-187-jp,Groudon,Terastal Festival ex,080/187,2024,Fighting,Rare,Uta,/images/cards-collection/groudon-terastal-festival-ex-080-187-jp.webp,,NM,available,,
sableye-v-sword-shield-064-060-jp,Sableye V,Sword & Shield,064/060,2020,Dark,SR,Eske Yoshinob,/images/cards-collection/sableye-v-sword-shield-064-060-jp.webp,,NM,available,,
mega-starmie-ex-stellar-miracle-021-080-jp,Mega Starmie ex,Stellar Miracle,021/080,2026,Water,RR,5ban Graphics,/images/cards-collection/mega-starmie-ex-stellar-miracle-021-080-jp.webp,,NM,available,,
rotom-vstar-vstar-universe-002-006-jp,Rotom VSTAR,VSTAR Universe,002/006,2022,Electric,Other,5ban Graphics,/images/cards-collection/rotom-vstar-vstar-universe-002-006-jp.webp,,NM,available,,
victini-v-start-deck-100-003-023-jp,Victini V,Start Deck 100,003/023,2021,Fire,RR,PLANETA Tsuji,/images/cards-collection/victini-v-start-deck-100-003-023-jp.webp,,NM,available,,
arceus-vstar-star-birth-084-100-jp,Arceus VSTAR,Star Birth,084/100,2022,Normal,RRR,5ban Graphics,/images/cards-collection/arceus-vstar-star-birth-084-100-jp.webp,,NM,available,,
lucario-star-birth-055-100-jp,Lucario,Star Birth,055/100,2022,Fighting,RR,GIDORA,/images/cards-collection/lucario-star-birth-055-100-jp.webp,,NM,available,,
cyber-judge-070-187-jp,ソウブレイズ,Cyber Judge,070/187,2024,Psychic,Uncommon,Ryota Murayama,/images/cards-collection/cyber-judge-070-187-jp.webp,,NM,available,,
electrode-expansion-pack-20th-anniversary-038-087-jp,Electrode,Expansion Pack 20th Anniversary,038/087,2016,Electric,Uncommon,Keiji Kinebuchi,/images/cards-collection/electrode-expansion-pack-20th-anniversary-038-087-jp.webp,,NM,available,,
reshiram-zekrom-gx-dream-league-036-049-jp,Reshiram & Zekrom GX,Dream League,036/049,2019,Fire,RR,Naoki Saito,/images/cards-collection/reshiram-zekrom-gx-dream-league-036-049-jp.webp,,NM,available,,
arcanine-pokemon-card-151-059-165-jp,Arcanine,Pokemon Card 151,059/165,2023,Fire,Uncommon,Atsushi Furusawa,/images/cards-collection/arcanine-pokemon-card-151-059-165-jp.webp,,NM,available,,
aerodactyl-151-142-165-jp,Aerodactyl,151,142/165,2023,Normal,RR,Shinji Kanda,/images/cards-collection/aerodactyl-151-142-165-jp.webp,,NM,available,0.35,2026-05-31
riolu-cyber-judge-091-193-jp,Riolu,Cyber Judge,091/193,2024,Fighting,Common,hncl,/images/cards-collection/riolu-cyber-judge-091-193-jp.webp,,NM,available,,
vaporeon-151-134-165-jp,Vaporeon,151,134/165,2023,Water,Rare,kirisAki,/images/cards-collection/vaporeon-151-134-165-jp.webp,,NM,available,0.38,2026-05-31
hop-s-snorlax-master-ball-136-193-jp,Hop's Snorlax,Master Ball,136/193,2025,Normal,AR,OKACHEKE,/images/cards-collection/hop-s-snorlax-master-ball-136-193-jp.webp,,NM,available,,
amaura-destined-rivals-084-080-jp,Amaura,Destined Rivals,084/080,2026,Water,AR,Masa,/images/cards-collection/amaura-destined-rivals-084-080-jp.webp,,NM,available,,
moltres-pokemon-go-012-071-jp,Moltres,Pokémon GO,012/071,2022,Fire,Holo,Pani Kobayashi,/images/cards-collection/moltres-pokemon-go-012-071-jp.webp,,NM,available,,
